Photons: Air kerma per fluence, in units of pGy·cm², for monoenergetic particles.

 Energy (MeV)     K_a
   0.010          7.43
   0.015          3.12
   0.020          1.68
   0.030          0.721
   0.040          0.429
   0.050          0.323
   0.060          0.289
   0.080          0.307
   0.100          0.371
   0.150          0.599
   0.200          0.856
   0.300          1.38
   0.400          1.89
   0.500          2.38
   0.600          2.84
   0.800          3.69
   1.000          4.47
   1.500          6.14
   2.000          7.55
   3.000          9.96
   4.000          12.1
   5.000          14.1
   6.000          16.1
   8.000          20.1
  10.000          24.0
